NAME,TYPE,DECADE,MEDIA URL,DATE,DIMSENSIONS (CM),MEASUREMENT
Benjamin Latrobe,Painting,1790-1799,https://ids.si.edu/ids/deliveryService?id=NPG-NPG_2011_64Latrobe_int,1790,18.1 × 13.3,7.1 x 5.2
Watercolor Painting Depicting the Bennet Family Record,Painting,1800-1809,https://ids.si.edu/ids/deliveryService?id=NMAH-84-7679,1804,34.9 × 27.3,13.7 x 10.8
Capt. John Gassoway,Miniature,1790-1799,https://ids.si.edu/ids/deliveryService?id=SAAM-1999.27.33_1,1790,3.8 x 2.9,1.5 x 1.1
Portrait of a Gentleman,Miniature,1790-1799,https://ids.si.edu/ids/deliveryService?id=SAAM-1984.64_1,1790,8.9 x 8.9,3.5 x 3.5
Captain John H. Seward,Miniature,1790-1799,https://ids.si.edu/ids/deliveryService?id=SAAM-1983.21_1,1790,4.2 x 3.3,1.7 x 1.3
Portrait of a Man,Painting,1790-1799,https://ids.si.edu/ids/deliveryService?id=SAAM-1979.5.10_1,1790,30.5 x 24.9,12.0 x 9.8
Susanne Correy,Miniature,1790-1799,https://ids.si.edu/ids/deliveryService?id=SAAM-1979.153.1_1,1790,5.1 x 3.8,2.0 x 1.5
"Archibald Bulloch, Governor of Georgia",Miniature,1790-1799,https://ids.si.edu/ids/deliveryService?id=SAAM-1975.77.2_1,1790,4.8 x 3.8,1.9 x 1.5
Portrait of a Gentleman,Miniature,1790-1799,https://ids.si.edu/ids/deliveryService?id=SAAM-1975.5_1,1790,6.7 x 5.4,2.6 x 2.1
Portrait of Mrs. Robert Kermit,Painting,1790-1799,https://ids.si.edu/ids/deliveryService?id=SAAM-1970.76_1,1790,30.4 x 25.1,12.0 x 9.9
James Rumsey,Painting,1790-1799,https://ids.si.edu/ids/deliveryService?id=SAAM-1957.11.2_1,1790,12.4 x 10.5,4.9 x 4.1
Mrs. Richard Yates,Miniature,1790-1799,https://ids.si.edu/ids/deliveryService?id=SAAM-1956.1.2_1,1790,4.7 x 3.8,1.9 x 1.5
"James Cunningham, Last Earl of Glencairn",Miniature,1790-1799,https://ids.si.edu/ids/deliveryService?id=SAAM-1951.3.8_1,1790,6.3 x 4.8,2.5 x 1.9
Portrait of a Young Lady,Miniature,1790-1799,https://ids.si.edu/ids/deliveryService?id=SAAM-1942.11.5_1,1790,4.5 x 3.5,1.8 x 1.4
William Linn,Miniature,1790-1799,"https://ids.si.edu/ids/iiif/NPG-NPG_2007_11Linn-000003/full/250,/0/default.jpg",1790,5.7 x 4.4,2.2 x 1.7
Charles Cotesworth Pinckney,Miniature,1790-1799,https://ids.si.edu/ids/deliveryService?id=NPG-NPG_2007_212,1791,8.6 × 7,3.4 x 2.8
Thomas Pinckney,Miniature,1790-1799,https://ids.si.edu/ids/deliveryService?id=NPG-NPG_2007_211,1791,8.6 x 7,3.4 x 2.8
Elizabeth Grimké Rutledge,Miniature,1790-1799,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_97_191Rutledgealt-000002,1791,10.3 × 7.6,4.1 x 3.0
John Rutledge,Miniature,1790-1799,https://ids.si.edu/ids/deliveryService?id=NPG-9700390A_1,1791,8.6 x 7.6,3.4 x 3.0
Charles Willson Peale Self-Portrait,Painting,1790-1799,https://ids.si.edu/ids/deliveryService?id=NPG-NPG_89_205,1791,84.8 x 72.1,33.4 x 28.4
Mrs. Joseph Wright,Painting,1790-1799,https://ids.si.edu/ids/deliveryService?id=SAAM-1975.49.2_1,1792,116.8 x 91.8,46.0 x 36.1
Mrs. Richard Alsop,Painting,1790-1799,https://ids.si.edu/ids/deliveryService?id=SAAM-1975.49.1_1,1792,115.8 x 91.8,45.6 x 36.1
Thomas Paine,Painting,1790-1799,https://ids.si.edu/ids/deliveryService?id=NPG-NPG_2008_5,1792,34 x 26,13.4 x 10.2
James Wilson,Miniature,1790-1799,https://ids.si.edu/ids/deliveryService?id=SAAM-1952.3.3_1,1792,6.7 x 5.2,2.6 x 2.0
Joseph Curwen,Miniature,1800-1809,https://ids.si.edu/ids/deliveryService?id=SAAM-1984.2_1,1804,7.3 x 5.7,2.9 x 2.2
Master Peters,Miniature,1800-1809,https://ids.si.edu/ids/deliveryService?id=SAAM-1981.32_1,1804,6.8 x 5.6,2.7 x 2.2
Mrs. George Willig,Miniature,1800-1809,https://ids.si.edu/ids/deliveryService?id=SAAM-1959.9.2_1,1804,4.3 x 5.5,1.7 x 2.2
Henry B. Bounetheau's Aunt,Miniature,1800-1809,https://ids.si.edu/ids/deliveryService?id=SAAM-1946.3.16_1,1804,8.6 x 7.0,3.4 x 2.8
William Linn,Painting,1800-1809,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2007_12Linn-000001,1805,74.9 x 55.9,29.5 x 22.0
Joel Barlow,Painting,1800-1809,https://ids.si.edu/ids/deliveryService?id=NPG-NPG_83_249,1805,38.7 x 32.3,15.2 x 12.7
William Dunlap self-portrait,Miniature,1800-1809,https://ids.si.edu/ids/deliveryService?id=NPG-NPG_2013_40,1805,6.4 × 4.8,2.5 x 1.9
Portrait of a Baby Boy,Miniature,1800-1809,https://ids.si.edu/ids/deliveryService?id=SAAM-1999.27.59.2_1,1805,5.5 x 4.4,2.2 x 1.7
Portrait of a Gentleman,Miniature,1800-1809,https://ids.si.edu/ids/deliveryService?id=SAAM-1999.27.59.1_1,1805,5.3 x 4.3,2.1 x 1.7
Portrait of a Gentleman,Miniature,1800-1809,https://ids.si.edu/ids/deliveryService?id=SAAM-1979.152_1,1805,7.3 x 5.7,2.9 x 2.2
Miriam Etting Myers,Miniature,1800-1809,https://ids.si.edu/ids/deliveryService?id=SAAM-1959.5.1_1,1805,7.7 x 5.7,3.0 x 2.2
A. Laurason,Miniature,1800-1809,https://ids.si.edu/ids/deliveryService?id=SAAM-1958.5.4_1,1805,6.5 x 6.5,2.6 x 2.6
David McClellan,Miniature,1800-1809,https://ids.si.edu/ids/deliveryService?id=SAAM-1956.7.1_1,1805,7.6 x 6.2,3.0 x 2.4
Member of the Mayfield Family,Miniature,1800-1809,https://ids.si.edu/ids/deliveryService?id=SAAM-1953.7.4_1,1805,7.3 x 5.8,2.9 x 2.3
Portrait of a Gentleman,Miniature,1800-1809,https://ids.si.edu/ids/deliveryService?id=SAAM-1950.4.6_1,1805,6.2 x 4.7,2.4 x 1.9
Elizabeth Du Hamel?,Miniature,1800-1809,https://ids.si.edu/ids/deliveryService?id=SAAM-1950.4.40_1,1805,7.0 x 5.7,2.8 x 2.2
Mary Thayer Holden,Miniature,1800-1809,https://ids.si.edu/ids/deliveryService?id=SAAM-1950.4.3_1,1805,7.0 x 5.9,2.8 x 2.3
Mrs. Abraham Van Santvoort of New York,Miniature,1800-1809,https://ids.si.edu/ids/deliveryService?id=SAAM-1950.4.18_1,1805,8.0 x 6.4,3.1 x 2.5
Isaac Praul,Miniature,1800-1809,https://ids.si.edu/ids/deliveryService?id=SAAM-1950.4.15_1,1805,6.0 x 4.9,2.4 x 1.9
Portrait of a Gentleman with Initials G. D.,Miniature,1800-1809,https://ids.si.edu/ids/deliveryService?id=SAAM-1942.7.2_1,1805,6.4 x 5.2,2.5 x 2.0
Portrait of Martha Washington by John Trumbull,Miniature,1790-1799,"https://ids.si.edu/ids/iiif/NMAH-89-6826/full/250,/0/default.jpg",1793,9.5 x 7.5,3.7 x 3.0
George Washington,Miniature,1790-1799,"https://ids.si.edu/ids/iiif/NMAH-89-6827/full/250,/0/default.jpg",1793,9.2 x 8.2,3.6 x 3.2
Portrait of a Gentleman,Miniature,1790-1799,https://ids.si.edu/ids/deliveryService?id=SAAM-2012.21_1,1793,5.9 x 5.1,2.3 x 2.0
Emily Smiley Snowden,Painting,1790-1799,https://ids.si.edu/ids/deliveryService?id=SAAM-1977.104_1,1793,90.5 x 78.4,35.6 x 30.9
John Adams,Painting,1790-1799,https://ids.si.edu/ids/deliveryService?id=NPG-NPG_75_52,1793,65.1 × 54.9,25.6 x 21.6
William Shippen,Miniature,1790-1799,https://ids.si.edu/ids/deliveryService?id=SAAM-1999.87.5_1,1794,4.4 x 3.5,1.7 x 1.4
John Witherspoon,Painting,1790-1799,https://ids.si.edu/ids/deliveryService?id=NPG-NPG_91_81Witherspoon_d1,1794,76.2 x 64.8,30.0 x 25.5
San José y el Cristo Niño,Painting,1790-1799,https://ids.si.edu/ids/deliveryService?id=SAAM-1996.91.4_1,1794,94.0 x 72.4,37.0 x 28.5
Lawrence Reid Yates,Miniature,1790-1799,https://ids.si.edu/ids/deliveryService?id=SAAM-1956.1.3_1,1794,7.5 x 6.0,3.0 x 2.4
Captain Joseph Anthony,Miniature,1790-1799,https://ids.si.edu/ids/deliveryService?id=SAAM-1952.12.1_1,1794,7.0 x 5.7,2.8 x 2.2
The Davis Children (Eliza Cheever Davis and John Derby Davis),Painting,1790-1799,https://ids.si.edu/ids/deliveryService?id=SAAM-2019.6.12_1,1795,123.2 × 97.8,48.5 x 38.5
Thomas Lee Shippen,Miniature,1790-1799,https://ids.si.edu/ids/deliveryService?id=SAAM-1999.87.4_1,1795,4.4 x 3.5,1.7 x 1.4
Mrs. John Corlis (Susannah Condé Russell),Miniature,1790-1799,https://ids.si.edu/ids/deliveryService?id=SAAM-1980.29.2_1,1795,7.3 x 6.0,2.9 x 2.4
Mr. John Corlis,Miniature,1790-1799,https://ids.si.edu/ids/deliveryService?id=SAAM-1980.29.1_1,1795,7.3 x 6.0,2.9 x 2.4
Mrs. Elizabeth Pollock Hartigan,Miniature,1790-1799,https://ids.si.edu/ids/deliveryService?id=SAAM-1956.1.4_1,1795,6.7 x 5.4,2.6 x 2.1
Elizabeth Oliphant,Miniature,1790-1799,https://ids.si.edu/ids/deliveryService?id=SAAM-1942.2.3_1,1795,7.0 x 5.8,2.8 x 2.3
Elizabeth Depeyster Peale,Miniature,1790-1799,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2009_49Depeyster-000004,1795,7 x 5.9,2.8 x 2.3
George Washington,Painting,1790-1799,https://ids.si.edu/ids/deliveryService?id=NPG-NPG_65_59,1795,75.6 x 64.5,29.8 x 25.4
Arthur St. Claire,Miniature,1790-1799,https://ids.si.edu/ids/deliveryService?id=NPG-NPG_83_31StClaire-000001,1795,7 x 5.4,2.8 x 2.1
Reverend Justus Henry Christian Helmuth,Painting,1790-1799,https://ids.si.edu/ids/deliveryService?id=NPG-NPG_67_7Helmuth-000003,1795,78.8 x 71.1,31.0 x 28.0
Jane Gray Wall,Miniature,1790-1799,https://ids.si.edu/ids/deliveryService?id=SAAM-1999.87.3_1,1795,7.9 x 6.4,3.1 x 2.5
Portrait of a Gentleman,Miniature,1790-1799,https://ids.si.edu/ids/deliveryService?id=SAAM-1999.27.45_1,1795,4.4 x 3.5,1.7 x 1.4
Mrs. Philip John Schuyler (Catherine van Rensselaer),Miniature,1790-1799,https://ids.si.edu/ids/deliveryService?id=SAAM-1999.27.43_1,1795,10 x 7.8,3.9 x 3.1
Major-General Anthony Wayne,Miniature,1790-1799,https://ids.si.edu/ids/deliveryService?id=SAAM-1999.27.41_1,1795,4.5 x 3.4,1.8 x 1.3
Don José Mas Ferrer,Painting,1790-1799,https://ids.si.edu/ids/deliveryService?id=SAAM-1996.91.1_1,1795,54.0 x 41.7,21.3 x 16.4
John Jauncey Ketchum,Miniature,1790-1799,https://ids.si.edu/ids/deliveryService?id=SAAM-1986.64.1_1,1795,8.6 x 6.0,3.4 x 2.4
Portrait of a Gentleman with Initials C. B.,Miniature,1790-1799,https://ids.si.edu/ids/deliveryService?id=SAAM-1980.95.2_1,1795,5.4 x 6.7,2.1 x 2.6
Portrait of a Gentleman with Initials H. D. C.,Miniature,1790-1799,https://ids.si.edu/ids/deliveryService?id=SAAM-1980.95.1_1,1795,5.4 x 6.7,2.1 x 2.6
Mrs. William Boswell Lamb (Margaret Stuart Kerr),Miniature,1790-1799,https://ids.si.edu/ids/deliveryService?id=SAAM-1980.126.5_1,1795,4.0 x 3.0,1.6 x 1.2
William Boswell Lamb,Miniature,1790-1799,https://ids.si.edu/ids/deliveryService?id=SAAM-1980.126.4_1,1795,4.0 x 3.0,1.6 x 1.2
Captain Robert Lillibridge,Miniature,1790-1799,https://ids.si.edu/ids/deliveryService?id=SAAM-1975.59.1_1,1795,6.0 x 4.4,2.4 x 1.7
Portrait of a Gentleman,Miniature,1790-1799,https://ids.si.edu/ids/deliveryService?id=SAAM-1959.7.22_1,1795,3.6 x 2.7,1.4 x 1.1
T. Stanford,Miniature,1790-1799,https://ids.si.edu/ids/deliveryService?id=SAAM-1957.3.2_1,1795,6.7 x 5.4,2.6 x 2.1
Portrait of a Gentleman with Initials J. B.,Miniature,1790-1799,https://ids.si.edu/ids/deliveryService?id=SAAM-1954.6.4_1,1795,6.5 x 5.0,2.6 x 2.0
Augustus Fricke,Miniature,1790-1799,https://ids.si.edu/ids/deliveryService?id=SAAM-1950.7.10_1,1795,7.0 x 7.5,2.8 x 3.0
